video_id	title	channel_id	channel_name	published_at	duration	view_count	like_count	comment_count	thumbnail_url	download_status	source_url	path
8OMLmUnc6Cs	A guide to DANDI, the BRAIN Initiative archive for publishing and sharing neurophysiology data	UCfD_mU-EFz135a9TpNFJP5A	Neurodata Without Borders	2021-09-13T00:00:00	3553	388	5	0	https://i.ytimg.com/vi/8OMLmUnc6Cs/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=8OMLmUnc6Cs	2021/09/2021-09-13_A-guide-to-DANDI-the-BRAIN-Initiative-archive-for-publishing-and-sharing-neurophysiology-data
fFnx-wzlLOs	DANDI User Training	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2021-11-05T00:00:00	10350	641	12	0	https://i.ytimg.com/vi/fFnx-wzlLOs/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=fFnx-wzlLOs	2021/11/2021-11-05_DANDI-User-Training
LraFN3NDtls	NWB info session + Q&A	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2022-01-19T00:00:00	3527	46	0	0	https://i.ytimg.com/vi/LraFN3NDtls/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=LraFN3NDtls	2022/01/2022-01-19_NWB-info-session-QA
pUpLEjxn_cw	MicroscopyHackathon - The Datasets	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2022-04-12T00:00:00	1055	63	3	0	https://i.ytimg.com/vi/pUpLEjxn_cw/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=pUpLEjxn_cw	2022/04/2022-04-12_MicroscopyHackathon-The-Datasets
T1KM2YNCFzI	MicroscopyHackathon - The Standards	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2022-04-12T00:00:00	1298	32	1	0	https://i.ytimg.com/vi/T1KM2YNCFzI/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=T1KM2YNCFzI	2022/04/2022-04-12_MicroscopyHackathon-The-Standards
ITGC-PazGh8	MicroscopyHackathon: The Tools	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2022-04-12T00:00:00	1180	285	4	0	https://i.ytimg.com/vi/ITGC-PazGh8/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=ITGC-PazGh8	2022/04/2022-04-12_MicroscopyHackathon-The-Tools
z-rk2wi5BDc	NWB GUIDE demo	UCfD_mU-EFz135a9TpNFJP5A	Neurodata Without Borders	2023-06-09T00:00:00	257	281	4	0	https://i.ytimg.com/vi/z-rk2wi5BDc/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=z-rk2wi5BDc	2023/06/2023-06-09_NWB-GUIDE-demo
QofVU-59Dd4	Converting data to NWB the easy way: NeuroConv and NWB GUIDE	UCfD_mU-EFz135a9TpNFJP5A	Neurodata Without Borders	2023-08-24T00:00:00	4436	591	10	0	https://i.ytimg.com/vi_webp/QofVU-59Dd4/maxresdefault.webp	downloaded	https://www.youtube.com/watch?v=QofVU-59Dd4	2023/08/2023-08-24_Converting-data-to-NWB-the-easy-way-NeuroConv-and-NWB-GUIDE
tVMIa6oY2TM	Using the DANDI Archive	UCfD_mU-EFz135a9TpNFJP5A	Neurodata Without Borders	2023-09-21T00:00:00	3140	248	3	0	https://i.ytimg.com/vi/tVMIa6oY2TM/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=tVMIa6oY2TM	2023/09/2023-09-21_Using-the-DANDI-Archive
4nNW8C-vcas	Day 1, Recap + Open Discussion	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2023-11-02T00:00:00	3001	36	1	0	https://i.ytimg.com/vi/4nNW8C-vcas/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=4nNW8C-vcas	2023/11/2023-11-02_Day-1-Recap-Open-Discussion
yEx4YbtlO9M	Day 1 Session 1, Adam Cohen, Voltage Imaging: all-optical electrophysiology of neuron excitability	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2023-11-02T00:00:00	1226	722	12	0	https://i.ytimg.com/vi/yEx4YbtlO9M/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=yEx4YbtlO9M	2023/11/2023-11-02_Day-1-Session-1-Adam-Cohen-Voltage-Imaging-all-optical-electrophysiology-of-neuron-excitability
