video_id	title	channel_id	channel_name	published_at	duration	view_count	like_count	comment_count	thumbnail_url	download_status	source_url	path	description
ITGC-PazGh8	MicroscopyHackathon: The Tools	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2022-04-12T00:00:00	1180	285	4	0	https://i.ytimg.com/vi/ITGC-PazGh8/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=ITGC-PazGh8	0001_2022-04-12_MicroscopyHackathon-The-Tools	This video describes two tools relevant to viewing, computing, and annotating large microscopy datasets.
T1KM2YNCFzI	MicroscopyHackathon - The Standards	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2022-04-12T00:00:00	1298	32	1	0	https://i.ytimg.com/vi/T1KM2YNCFzI/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=T1KM2YNCFzI	0002_2022-04-12_MicroscopyHackathon-The-Standards	This video introduces the standards used in the two Dandisets used in the hackathon:
pUpLEjxn_cw	MicroscopyHackathon - The Datasets	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2022-04-12T00:00:00	1055	63	3	0	https://i.ytimg.com/vi/pUpLEjxn_cw/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=pUpLEjxn_cw	0003_2022-04-12_MicroscopyHackathon-The-Datasets	This video describes two human ex vivo Dandisets that provide cellular resolution imaging alongside MRI level coverage.
