playlist_id	title	channel_id	channel_name	video_count	total_duration	privacy_status	created_at	last_sync	path
PLQVnU1OJzOn_7cgd4jxRik3Q29F98Bp6v	Microscopy Hackathon	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	3	3533	public	2022-04-11T00:00:00	2022-04-11T00:00:00	Microscopy-Hackathon
PLQVnU1OJzOn_mFlUL8aWQym4HfVvhlrGE	Open Data In Neurophysiology Symposium 2023	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	37	48988	public	2024-03-20T00:00:00	2024-03-20T00:00:00	Open-Data-In-Neurophysiology-Symposium-2023
