video_id	title	channel_id	channel_name	published_at	duration	view_count	like_count	comment_count	thumbnail_url	download_status	source_url	path
0cWPDyecqy4	Day2 Session5, Bob Datta, MoSeq (Motion Sequencing), quantifying 3D video of freely behaving animals	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2023-11-02T00:00:00	1321	842	10	0	https://i.ytimg.com/vi/0cWPDyecqy4/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=0cWPDyecqy4	0001_2023-11-02_Day2-Session5-Bob-Datta-MoSeq-Motion-Sequencing-quantifying-3D-video-of-freely-behaving-animals
1pqggHHvHdw	Day 1 Session 2, Oliver Rubel,  NWB (Neurodata without borders)	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2023-11-02T00:00:00	1320	48	0	0	https://i.ytimg.com/vi/1pqggHHvHdw/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=1pqggHHvHdw	0002_2023-11-02_Day-1-Session-2-Oliver-Rubel-NWB-Neurodata-without-borders
2bRdMFFzLVM	Day 2 Session 6, Hannah Wirtshafter, Low-dimensional manifolds for neural population dynamics	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2023-11-02T00:00:00	1187	83	0	0	https://i.ytimg.com/vi/2bRdMFFzLVM/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=2bRdMFFzLVM	0003_2023-11-02_Day-2-Session-6-Hannah-Wirtshafter-Low-dimensional-manifolds-for-neural-population-dynamics
3l9mRvusLmA	Day 2 Session 6 Panel Discussion	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2023-11-02T00:00:00	628	73	0	0	https://i.ytimg.com/vi/3l9mRvusLmA/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=3l9mRvusLmA	0004_2023-11-02_Day-2-Session-6-Panel-Discussion
4nNW8C-vcas	Day 1, Recap + Open Discussion	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2023-11-02T00:00:00	3001	36	1	0	https://i.ytimg.com/vi/4nNW8C-vcas/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=4nNW8C-vcas	0005_2023-11-02_Day-1-Recap-Open-Discussion
8czxyhFbobo	Day 2 Session 6,  Recap + Open Discussion	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2023-11-02T00:00:00	3987	65	0	0	https://i.ytimg.com/vi/8czxyhFbobo/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=8czxyhFbobo	0006_2023-11-02_Day-2-Session-6-Recap-Open-Discussion
8mGq-OHQpu4	Day 1, Student spotlight, Leyla Akay	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2023-11-02T00:00:00	861	106	1	0	https://i.ytimg.com/vi/8mGq-OHQpu4/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=8mGq-OHQpu4	0007_2023-11-02_Day-1-Student-spotlight-Leyla-Akay
8uIIMxd0zsQ	Day 2 Session 4, Bing Wen Brunton, Data-driven dynamic models of large-scale neural data	UCJxixMRiM03Sa2J1ZPCZaeQ	Nima Dehghani	2023-11-02T00:00:00	1354	56	1	0	https://i.ytimg.com/vi/8uIIMxd0zsQ/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=8uIIMxd0zsQ	0008_2023-11-02_Day-2-Session-4-Bing-Wen-Brunton-Data-driven-dynamic-models-of-large-scale-neural-data
C_BG6cVHSbQ	Day 1 Session 2, Dimitri Yatsenko, End-to-end computational workflows for neuroscience research	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2023-11-02T00:00:00	1257	64	0	0	https://i.ytimg.com/vi/C_BG6cVHSbQ/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=C_BG6cVHSbQ	0009_2023-11-02_Day-1-Session-2-Dimitri-Yatsenko-End-to-end-computational-workflows-for-neuroscience-research
DZRvA7c5UzQ	Day 1 Session 1.Tim Harris, Neuropixels NXT: in vivo high density electrophysiology	UCsLLBNhtcV-wL8cCZWveDCA	DANDI	2023-11-02T00:00:00	1056	251	3	0	https://i.ytimg.com/vi/DZRvA7c5UzQ/maxresdefault.jpg	downloaded	https://www.youtube.com/watch?v=DZRvA7c5UzQ	0010_2023-11-02_Day-1-Session-1Tim-Harris-Neuropixels-NXT-in-vivo-high-density-electrophysiology
